species,longitude,latitude
accident,205071.1123906592,552478.0753456885
accident,203531.30336319568,553692.2803255578
accident,204802.62601637293,554488.7009247388
accident,202028.69798154203,552836.6583570852
accident,203572.81580577928,554086.1728853763
accident,205506.87912190013,554513.8416741657
accident,202979.19121947154,553171.2293310203
accident,203895.63211164623,553372.383997459
accident,203748.13558220217,553296.6444267967
accident,203303.54423935033,553185.310555001
accident,204136.76132910966,553513.3060978388
accident,205333.41572421076,554448.6678374524
accident,205462.80429262563,555129.1254791149
accident,204183.38910069902,552914.7262296594
accident,205067.99424134698,552628.5352163914
accident,204860.3696479479,554422.1401150204
accident,206388.53094644754,553565.9318355856
accident,204428.45822740605,553809.5998487548
accident,203661.7639605606,553281.7458893906
accident,204018.32879643567,553483.972610827
accident,202047.99118376637,552972.4976897563
accident,203245.4816467967,553222.5163347323
accident,205480.27270986585,554486.4642535062
accident,206045.88850307092,553097.2226714304
accident,203526.94114193512,553722.4688684533
accident,205921.16564028463,551459.6349168028
accident,202553.02332957313,553058.6097160496
accident,204070.04604233225,552995.8551238147
accident,205126.14841016696,554967.3783631723
accident,205941.54133492813,555973.5086103553
accident,205664.50166400167,552201.5390257541
accident,204564.34772135835,553968.8441778553
accident,203408.16348892282,554162.1351746492
accident,202897.92909919823,552365.5136594516
accident,205216.4885906524,553134.108597763
accident,203655.9614967458,553280.1197492504
accident,203974.53056330903,553535.9480819295
accident,203057.9975375288,553183.9229491325
accident,205478.8353323923,555695.9357668943
accident,205088.11936156155,553065.4606671124
accident,203289.42118745105,554295.726610555
accident,205671.15047783093,555029.8268609729
accident,205128.31209420876,552582.7044628918
accident,205477.73920065493,556148.8116720681
accident,205162.947177048,554889.1909549839
accident,206066.43023068737,552011.6893984125
accident,204445.96498677324,553298.1265277149
accident,203708.39043671294,553383.3092451678
accident,203385.76704605971,553188.828314038
accident,204034.35437610943,553431.8123445696
accident,205058.15527005715,553108.6208838981
accident,203307.252782149,554260.3847578219
accident,205106.62916228257,554503.2432304216
accident,202171.5220972054,552594.7705580404
accident,205439.72549430034,555523.8153561172
accident,206040.35133558584,551754.4752185036
accident,205506.2123264485,555114.3511545705
accident,203650.03233855072,552892.0965466191
accident,203997.99814780432,553049.6243693662
accident,205890.06292690928,554711.0361068877
accident,203607.17191670116,553371.7346618618
accident,202056.83513035614,552715.437048609
accident,204053.6056987032,553472.1075518483
accident,203655.43053884624,554125.5802359132
accident,203890.35800257168,553163.8888870022
accident,202999.6921911656,553193.7868919314
accident,206072.0339691853,553240.2542543523
accident,204938.03615564294,554490.580382363
accident,203317.19202926743,553695.0173166066
accident,205776.21202899268,554606.0969050323
accident,205710.6583929922,554994.8916544371
accident,203615.23720651894,553279.8038624064
accident,204004.296003063,553455.8034688581
accident,204942.81236178312,554546.7115086092
accident,204796.556296295,551911.2139296882
accident,205953.8228232662,555921.5533811027
accident,206364.90218781235,552679.9023287538
accident,205900.5949646078,554719.532933524
accident,206201.07980153602,553260.81344538
accident,205481.44336278967,555581.9044169531
accident,203342.26312792583,553221.3693512477
accident,203653.86234164223,553300.277851429
accident,204039.39048592455,553521.3954051743
accident,202098.4329474011,552917.4983894662
accident,203385.72771568605,553606.8750506996
accident,203701.51799404822,554128.1910581479
accident,205902.66167191076,551856.2626066944
accident,204888.0944991958,551844.2681933807
accident,205205.69880320874,554385.9633934781
accident,203354.99453539366,552593.4094974482
accident,204317.00688524576,554074.1112995486
accident,203739.3059172111,553336.7359128215
accident,203387.67242250624,553220.3302293352
accident,204690.82658383244,554887.4217794951
accident,203569.60678949428,553717.9941624466
accident,206357.49547659178,553266.7836218717
accident,203366.62625097364,552571.4626370617
accident,205635.02490448818,554552.3657677768
accident,203405.3840919835,553183.8100846219
accident,203624.93213330305,553285.0179069624
accident,203384.3119617044,553383.7767243615
accident,203045.03957350785,553221.9080575883
accident,203903.650306236,553546.603869271
accident,203582.8942844359,553664.9439820655
accident,203824.79237470895,553326.0973201137
