사고다발지fid,사고다발지id,법정동코드,지점코드,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
151694,2013098,1123010500,11230001,서울특별시 동대문구1,서울특별시 동대문구 답십리동(답십리사거리 부근),4,5,0,1,4,0,127.057404049858,37.5718314003,"{""type"":""Polygon"",""coordinates"":[[[127.0590049,37.5731056],[127.0586619,37.5733297],[127.0582705,37.5734962],[127.0578457,37.5735988],[127.057404,37.5736334],[127.0569624,37.5735988],[127.0565376,37.5734962],[127.0561462,37.5733297],[127.0558032,37.5731056],[127.0555216,37.5728325],[127.0553124,37.572521],[127.0551836,37.5721829],[127.0551401,37.5718314],[127.0551836,37.5714798],[127.0553124,37.5711418],[127.0555217,37.5708303],[127.0558032,37.5705572],[127.0561463,37.5703331],[127.0565377,37.5701666],[127.0569624,37.570064],[127.057404,37.5700294],[127.0578457,37.570064],[127.0582704,37.5701666],[127.0586618,37.5703331],[127.0590049,37.5705572],[127.0592864,37.5708303],[127.0594957,37.5711418],[127.0596245,37.5714798],[127.059668,37.5718314],[127.0596245,37.5721829],[127.0594957,37.572521],[127.0592865,37.5728325],[127.0590049,37.5731056]]]}"
144670,2013098,1123010300,11230002,서울특별시 동대문구2,서울특별시 동대문구 제기동(식당재료유통할인 부근),4,4,0,3,1,0,127.039979551216,37.582778504026,"{""type"":""Polygon"",""coordinates"":[[[127.0415807,37.5840527],[127.0412376,37.5842768],[127.0408461,37.5844433],[127.0404213,37.5845459],[127.0399796,37.5845805],[127.0395378,37.5845459],[127.039113,37.5844433],[127.0387216,37.5842768],[127.0383784,37.5840527],[127.0380968,37.5837796],[127.0378876,37.5834681],[127.0377588,37.58313],[127.0377153,37.5827785],[127.0377588,37.5824269],[127.0378876,37.5820889],[127.0380969,37.5817774],[127.0383785,37.5815043],[127.0387216,37.5812802],[127.0391131,37.5811137],[127.0395378,37.5810111],[127.0399796,37.5809765],[127.0404213,37.5810111],[127.040846,37.5811137],[127.0412375,37.5812802],[127.0415806,37.5815043],[127.0418622,37.5817774],[127.0420715,37.5820889],[127.0422003,37.5824269],[127.0422438,37.5827785],[127.0422003,37.58313],[127.0420715,37.5834681],[127.0418623,37.5837796],[127.0415807,37.5840527]]]}"
144665,2013098,1123010800,11230003,서울특별시 동대문구3,서울특별시 동대문구 회기동(회기역앞_회기로_진출_1 부근),4,5,0,3,2,0,127.054378009239,37.589948441668,"{""type"":""Polygon"",""coordinates"":[[[127.0559793,37.5912226],[127.0556361,37.5914467],[127.0552446,37.5916133],[127.0548198,37.5917158],[127.054378,37.5917504],[127.0539362,37.5917158],[127.0535114,37.5916133],[127.0531199,37.5914467],[127.0527767,37.5912226],[127.0524951,37.5909496],[127.0522859,37.590638],[127.052157,37.5903],[127.0521135,37.5899484],[127.052157,37.5895969],[127.0522859,37.5892588],[127.0524952,37.5889473],[127.0527768,37.5886742],[127.0531199,37.5884501],[127.0535114,37.5882836],[127.0539362,37.5881811],[127.054378,37.5881465],[127.0548198,37.5881811],[127.0552446,37.5882836],[127.0556361,37.5884501],[127.0559792,37.5886742],[127.0562609,37.5889473],[127.0564701,37.5892588],[127.056599,37.5895969],[127.0566425,37.5899484],[127.056599,37.5903],[127.0564702,37.590638],[127.0562609,37.5909496],[127.0559793,37.5912226]]]}"
144662,2013098,1123010100,11230004,서울특별시 동대문구4,서울특별시 동대문구 신설동(신설동역_난정로_진입_1 부근),4,4,0,4,0,0,127.022965480674,37.575073937413,"{""type"":""Polygon"",""coordinates"":[[[127.0245664,37.5763481],[127.0242234,37.5765722],[127.0238319,37.5767388],[127.0234072,37.5768413],[127.0229655,37.5768759],[127.0225238,37.5768413],[127.022099,37.5767388],[127.0217076,37.5765722],[127.0213645,37.5763481],[127.021083,37.5760751],[127.0208737,37.5757635],[127.0207449,37.5754255],[127.0207014,37.5750739],[127.0207449,37.5747224],[127.0208738,37.5743843],[127.021083,37.5740728],[127.0213646,37.5737997],[127.0217077,37.5735756],[127.0220991,37.5734091],[127.0225238,37.5733066],[127.0229655,37.5732719],[127.0234072,37.5733066],[127.0238319,37.5734091],[127.0242233,37.5735756],[127.0245664,37.5737997],[127.024848,37.5740728],[127.0250572,37.5743843],[127.025186,37.5747224],[127.0252295,37.5750739],[127.025186,37.5754255],[127.0250572,37.5757635],[127.024848,37.5760751],[127.0245664,37.5763481]]]}"
144664,2013098,1123010300,11230005,서울특별시 동대문구5,서울특별시 동대문구 제기동(홍파초교후문 부근),4,5,0,4,1,0,127.040451453373,37.586327288175,"{""type"":""Polygon"",""coordinates"":[[[127.0420527,37.5876015],[127.0417095,37.5878256],[127.041318,37.5879921],[127.0408932,37.5880946],[127.0404515,37.5881293],[127.0400097,37.5880946],[127.0395849,37.5879921],[127.0391934,37.5878256],[127.0388503,37.5876015],[127.0385686,37.5873284],[127.0383594,37.5870169],[127.0382306,37.5866788],[127.0381871,37.5863273],[127.0382306,37.5859757],[127.0383594,37.5856377],[127.0385687,37.5853261],[127.0388503,37.5850531],[127.0391934,37.584829],[127.0395849,37.5846625],[127.0400097,37.5845599],[127.0404515,37.5845253],[127.0408932,37.5845599],[127.041318,37.5846625],[127.0417095,37.584829],[127.0420526,37.5850531],[127.0423342,37.5853261],[127.0425435,37.5856377],[127.0426723,37.5859757],[127.0427159,37.5863273],[127.0426724,37.5866788],[127.0425435,37.5870169],[127.0423343,37.5873284],[127.0420527,37.5876015]]]}"
144669,2013098,1123010900,11230006,서울특별시 동대문구6,서울특별시 동대문구 휘경동(위생병원앞 부근),4,5,1,3,1,0,127.06235214044,37.590171014881,"{""type"":""Polygon"",""coordinates"":[[[127.0639534,37.5914452],[127.0636103,37.5916693],[127.0632188,37.5918358],[127.0627939,37.5919384],[127.0623521,37.591973],[127.0619103,37.5919384],[127.0614855,37.5918358],[127.061094,37.5916693],[127.0607509,37.5914452],[127.0604692,37.5911721],[127.06026,37.5908606],[127.0601311,37.5905225],[127.0600876,37.590171],[127.0601311,37.5898194],[127.06026,37.5894814],[127.0604693,37.5891699],[127.0607509,37.5888968],[127.0610941,37.5886727],[127.0614856,37.5885062],[127.0619104,37.5884037],[127.0623521,37.588369],[127.0627939,37.5884037],[127.0632187,37.5885062],[127.0636102,37.5886727],[127.0639534,37.5888968],[127.064235,37.5891699],[127.0644443,37.5894814],[127.0645731,37.5898194],[127.0646167,37.590171],[127.0645732,37.5905225],[127.0644443,37.5908606],[127.064235,37.5911721],[127.0639534,37.5914452]]]}"
151696,2013098,1123010200,11230007,서울특별시 동대문구7,서울특별시 동대문구 용두동(용두 치안센터 부근),6,6,1,4,1,0,127.033726712519,37.578085819106,"{""type"":""Polygon"",""coordinates"":[[[127.0353277,37.57936],[127.0349846,37.5795841],[127.0345932,37.5797506],[127.0341684,37.5798532],[127.0337267,37.5798878],[127.033285,37.5798532],[127.0328602,37.5797506],[127.0324688,37.5795841],[127.0321257,37.57936],[127.0318441,37.5790869],[127.0316349,37.5787754],[127.0315061,37.5784373],[127.0314626,37.5780858],[127.0315061,37.5777342],[127.0316349,37.5773962],[127.0318442,37.5770847],[127.0321257,37.5768116],[127.0324688,37.5765875],[127.0328603,37.576421],[127.033285,37.5763185],[127.0337267,37.5762838],[127.0341684,37.5763185],[127.0345931,37.576421],[127.0349846,37.5765875],[127.0353277,37.5768116],[127.0356093,37.5770847],[127.0358185,37.5773962],[127.0359473,37.5777342],[127.0359909,37.5780858],[127.0359474,37.5784373],[127.0358185,37.5787754],[127.0356093,37.5790869],[127.0353277,37.57936]]]}"
146243,2013098,1123010700,11230008,서울특별시 동대문구8,서울특별시 동대문구 청량리동(청량리역_일반국도6호선_진입_1 부근),16,16,0,10,5,1,127.044102587565,37.579894790113,"{""type"":""Polygon"",""coordinates"":[[[127.0457037,37.581169],[127.0453605,37.5813931],[127.0449691,37.5815596],[127.0445443,37.5816622],[127.0441026,37.5816968],[127.0436609,37.5816622],[127.0432361,37.5815596],[127.0428446,37.5813931],[127.0425015,37.581169],[127.0422199,37.5808959],[127.0420107,37.5805844],[127.0418819,37.5802463],[127.0418384,37.5798948],[127.0418819,37.5795432],[127.0420108,37.5792052],[127.04222,37.5788936],[127.0425016,37.5786206],[127.0428447,37.5783965],[127.0432361,37.57823],[127.0436609,37.5781274],[127.0441026,37.5780928],[127.0445443,37.5781274],[127.044969,37.57823],[127.0453605,37.5783965],[127.0457036,37.5786206],[127.0459852,37.5788936],[127.0461944,37.5792052],[127.0463233,37.5795432],[127.0463668,37.5798948],[127.0463233,37.5802463],[127.0461945,37.5805844],[127.0459852,37.5808959],[127.0457037,37.581169]]]}"
194256,2014105,1123010200,11230001,서울특별시 동대문구1,서울특별시 동대문구 용두동(성바오로병원앞 부근),13,13,0,4,7,2,127.042432387346,37.579212993386,"{""type"":""Polygon"",""coordinates"":[[[127.0440334,37.5804872],[127.0436903,37.5807113],[127.0432989,37.5808778],[127.0428741,37.5809804],[127.0424324,37.581015],[127.0419907,37.5809804],[127.0415659,37.5808778],[127.0411744,37.5807113],[127.0408313,37.5804872],[127.0405498,37.5802141],[127.0403405,37.5799026],[127.0402117,37.5795645],[127.0401682,37.579213],[127.0402117,37.5788614],[127.0403406,37.5785234],[127.0405498,37.5782118],[127.0408314,37.5779388],[127.0411745,37.5777147],[127.0415659,37.5775482],[127.0419907,37.5774456],[127.0424324,37.577411],[127.0428741,37.5774456],[127.0432988,37.5775482],[127.0436903,37.5777147],[127.0440334,37.5779388],[127.044315,37.5782118],[127.0445242,37.5785234],[127.0446531,37.5788614],[127.0446966,37.579213],[127.0446531,37.5795645],[127.0445242,37.5799026],[127.044315,37.5802141],[127.0440334,37.5804872]]]}"
194563,2014105,1123010200,11230002,서울특별시 동대문구2,서울특별시 동대문구 용두동(경동시장_일반국도6호선_진출_1 부근),9,9,0,7,2,0,127.037398698392,37.578211583898,"{""type"":""Polygon"",""coordinates"":[[[127.0389997,37.5794858],[127.0386566,37.5797099],[127.0382652,37.5798764],[127.0378404,37.5799789],[127.0373987,37.5800136],[127.036957,37.5799789],[127.0365322,37.5798764],[127.0361408,37.5797099],[127.0357977,37.5794858],[127.0355161,37.5792127],[127.0353069,37.5789012],[127.035178,37.5785631],[127.0351345,37.5782116],[127.0351781,37.57786],[127.0353069,37.577522],[127.0355161,37.5772104],[127.0357977,37.5769374],[127.0361408,37.5767133],[127.0365323,37.5765468],[127.036957,37.5764442],[127.0373987,37.5764096],[127.0378404,37.5764442],[127.0382651,37.5765468],[127.0386566,37.5767133],[127.0389997,37.5769374],[127.0392813,37.5772104],[127.0394905,37.577522],[127.0396193,37.57786],[127.0396629,37.5782116],[127.0396194,37.5785631],[127.0394905,37.5789012],[127.0392813,37.5792127],[127.0389997,37.5794858]]]}"
