Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.22257E-5,0.004222568,0.008807605,1,0,0
1.22976E-4,0.016520138,0.025435332,0.9975,0,0
1.28785E-4,0.029398675,0.026620824,0.995,0,0
1.50054E-4,0.058943966,0.03094845,0.99,0,0
2.85381E-4,0.109653712,0.058037359,0.985,0,0
3.28065E-4,0.200438634,0.066423464,0.9775,0,0
3.6662E-4,0.304235217,0.073934106,0.97,0,0
4.51609E-4,0.431510027,0.090277606,0.9625,0,0
5.07983E-4,0.528691711,0.10095891,0.9575,0,0
5.59656E-4,0.638153146,0.110639374,0.9525,0,0
5.69869E-4,0.751354898,0.112540354,0.9475,0,0
5.69869E-4,0.808341838,0.112540365,0.945,0,0
5.6987E-4,0.922315759,0.112540407,0.94,0,0
5.69871E-4,1.03628985,0.112540614,0.935,0,0
5.69872E-4,1.150264223,0.112540826,0.93,0,0
5.69877E-4,1.20725192,0.112541773,0.9275,0,0
5.69877E-4,1.321227336,0.112541798,0.9225,0,0
5.6989E-4,1.435205278,0.112544263,0.9175,0,0
5.69912E-4,1.549186024,0.112548327,0.9125,0,0
5.69993E-4,1.77716729,0.112563351,0.9025,0,0
5.70181E-4,2.005194352,0.112598312,0.8925,0,0
5.70413E-4,2.290325547,0.112641343,0.88,0,0
5.70759E-4,2.518605256,0.11270576,0.87,0,0
5.71438E-4,2.80419039,0.11283196,0.8575,0,0
5.72574E-4,3.033043511,0.113043051,0.8475,0,0
5.73242E-4,3.262196668,0.113167256,0.8375,0,0
5.75353E-4,3.549470972,0.113559385,0.825,0,0
5.77768E-4,3.779925467,0.114007773,0.815,0,0
5.79128E-4,4.01142909,0.114260225,0.805,0,0
5.82538E-4,4.301917447,0.114892673,0.7925,0,0
5.85164E-4,4.535477981,0.115379517,0.7825,0,0
5.87784E-4,4.770134963,0.115864916,0.7725,0,0
5.90835E-4,5.006020509,0.116429909,0.7625,0,0
5.95346E-4,5.302598444,0.117264594,0.75,0,0
6.00803E-4,5.541888711,0.118273279,0.74,0,0
6.03872E-4,5.783089516,0.11884001,0.73,0,0
6.08344E-4,6.025956367,0.119665117,0.72,0,0
6.12124E-4,6.270636773,0.120362004,0.71,0,0
6.24147E-4,6.518647522,0.122575098,0.7,0,0
6.36538E-4,6.771620723,0.124849939,0.69,0,0
6.41104E-4,7.027345642,0.125686589,0.68,0,0
6.48945E-4,7.285203105,0.127121785,0.67,0,0
6.58754E-4,7.547358819,0.128913724,0.66,0,0
6.69036E-4,7.814418581,0.130788129,0.65,0,0
6.72312E-4,8.015915813,0.131384598,0.6425,0,0
6.83161E-4,8.287424706,0.133356672,0.6325,0,0
6.91753E-4,8.563639419,0.134915366,0.6225,0,0
6.92994E-4,8.771406017,0.135140246,0.615,0,0
7.0769E-4,9.051476531,0.137798876,0.605,0,0
7.18843E-4,9.266105468,0.139811152,0.5975,0,0
7.32217E-4,9.556426589,0.142218055,0.5875,0,0
7.5799E-4,9.780509488,0.146837344,0.58,0,0
7.5951E-4,10.008313437,0.147109039,0.5725,0,0
7.64534E-4,10.313029639,0.148006179,0.5625,0,0
7.95474E-4,10.547975858,0.15351118,0.555,0,0
8.08179E-4,10.788958783,0.155761296,0.5475,0,0
8.14708E-4,11.032933046,0.156915431,0.54,0,0
8.32699E-4,11.280540662,0.160087137,0.5325,0.036363636,0
8.39644E-4,11.531848977,0.161308465,0.525,0.054545455,0
8.60524E-4,11.787828959,0.164969266,0.5175,0.054545455,0
8.76814E-4,12.049127361,0.167814209,0.51,0.054545455,0
8.90561E-4,12.314620322,0.170207659,0.5025,0.054545455,0
9.2062E-4,12.586943958,0.175416812,0.495,0.054545455,0
9.21941E-4,12.771322468,0.175645068,0.49,0.072727273,0
9.32964E-4,13.04995666,0.177546554,0.4825,0.072727273,0
9.59463E-4,13.334848852,0.182100045,0.475,0.072727273,0
9.73871E-4,13.529288858,0.1845653,0.47,0.072727273,0
9.96149E-4,13.825272378,0.188362265,0.4625,0.072727273,0
1.00662E-3,14.025672017,0.190140935,0.4575,0.072727273,0
1.03493E-3,14.333051552,0.194930193,0.45,0.072727273,0
1.03954E-3,14.540539823,0.195707766,0.445,0.072727273,0
1.04784E-3,14.853722316,0.197104238,0.4375,0.072727273,0
1.07987E-3,15.068282047,0.202475199,0.4325,0.072727273,0
1.08705E-3,15.285640962,0.20367373,0.4275,0.072727273,0
1.10329E-3,15.505041045,0.206377433,0.4225,0.072727273,0
1.12886E-3,15.841207239,0.210618295,0.415,0.109090909,0
1.15784E-3,16.072238602,0.215396308,0.41,0.109090909,0
1.17232E-3,16.306232281,0.217773683,0.405,0.109090909,0
1.21E-3,16.545795948,0.223924459,0.4,0.109090909,0
1.21607E-3,16.788625314,0.22490963,0.395,0.109090909,0
1.23962E-3,17.036357306,0.22872515,0.39,0.109090909,0
1.25883E-3,17.28621485,0.231822849,0.385,0.109090909,0
1.30358E-3,17.543132777,0.2389919,0.38,0.109090909,0
1.31558E-3,17.805165849,0.240901417,0.375,0.109090909,0
1.37205E-3,18.076498949,0.249830209,0.37,0.109090909,0
1.39501E-3,18.354936969,0.253429652,0.365,0.145454545,0
1.44839E-3,18.639981856,0.261732105,0.36,0.145454545,0
1.45622E-3,18.785604186,0.26294336,0.3575,0.145454545,0
1.54702E-3,19.090475256,0.276830887,0.3525,0.145454545,0
1.60412E-3,19.410385665,0.285431166,0.3475,0.145454545,0
1.60668E-3,19.57105343,0.285814066,0.345,0.145454545,0
1.63313E-3,19.897178167,0.289761656,0.34,0.145454545,0
1.65131E-3,20.062309178,0.292461193,0.3375,0.145454545,0
1.8189E-3,20.423481406,0.316873412,0.3325,0.163636364,0
1.82104E-3,20.605585531,0.317179213,0.33,0.163636364,0
1.91489E-3,20.797074087,0.330473133,0.3275,0.163636364,0
1.96026E-3,21.186566789,0.336808398,0.3225,0.163636364,0
1.99521E-3,21.386087316,0.341645417,0.32,0.163636364,0
2.0234E-3,21.588426836,0.345522212,0.3175,0.163636364,0
2.07005E-3,21.795431443,0.351887745,0.315,0.163636364,0
2.09592E-3,22.005023879,0.355392115,0.3125,0.163636364,0
2.14162E-3,22.432457936,0.361533284,0.3075,0.163636364,0
2.15175E-3,22.647632741,0.362887219,0.305,0.163636364,0
2.15253E-3,22.862885308,0.362991008,0.3025,0.163636364,0
2.16221E-3,23.079105937,0.364281661,0.3,0.163636364,0
2.23871E-3,23.302977176,0.374390134,0.2975,0.2,0
2.2669E-3,23.529667642,0.378074414,0.295,0.2,0
2.27431E-3,23.757098831,0.379038815,0.2925,0.2,0
2.2869E-3,24.214148448,0.380674303,0.2875,0.218181818,0
2.3162E-3,24.445768718,0.384464812,0.285,0.218181818,0
2.3468E-3,24.680448297,0.38839747,0.2825,0.254545455,0
2.39613E-3,24.920060931,0.39468592,0.28,0.254545455,0
2.40519E-3,25.160579934,0.395834269,0.2775,0.254545455,0
2.40557E-3,25.401136939,0.39588237,0.275,0.254545455,0
2.43313E-3,25.644449735,0.399360257,0.2725,0.254545455,0
2.47534E-3,25.891983449,0.404648395,0.27,0.254545455,0
2.55064E-3,26.147047797,0.413967719,0.2675,0.254545455,0
2.597E-3,26.40674738,0.419631246,0.265,0.254545455,0
2.62391E-3,26.669138772,0.422895056,0.2625,0.254545455,0
2.6478E-3,26.933918278,0.42577527,0.26,0.254545455,0
