Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bus_stop contribution,car_out_density contribution,cctv_car contribution,cctv_way_density contribution,crosswalk contribution,hospital_log contribution,intersection_fourway contribution,intersection_single contribution,intersection_threeway contribution,led_density contribution,market_kde_density_log_weighted contribution,senior_facility contribution,silverzone contribution,streetlight contribution,walklight contribution,bus_stop permutation importance,car_out_density permutation importance,cctv_car permutation importance,cctv_way_density permutation importance,crosswalk permutation importance,hospital_log permutation importance,intersection_fourway permutation importance,intersection_single permutation importance,intersection_threeway permutation importance,led_density permutation importance,market_kde_density_log_weighted permutation importance,senior_facility permutation importance,silverzone permutation importance,streetlight permutation importance,walklight permutation importance,Training gain without bus_stop,Training gain without car_out_density,Training gain without cctv_car,Training gain without cctv_way_density,Training gain without crosswalk,Training gain without hospital_log,Training gain without intersection_fourway,Training gain without intersection_single,Training gain without intersection_threeway,Training gain without led_density,Training gain without market_kde_density_log_weighted,Training gain without senior_facility,Training gain without silverzone,Training gain without streetlight,Training gain without walklight,Training gain with only bus_stop,Training gain with only car_out_density,Training gain with only cctv_car,Training gain with only cctv_way_density,Training gain with only crosswalk,Training gain with only hospital_log,Training gain with only intersection_fourway,Training gain with only intersection_single,Training gain with only intersection_threeway,Training gain with only led_density,Training gain with only market_kde_density_log_weighted,Training gain with only senior_facility,Training gain with only silverzone,Training gain with only streetlight,Training gain with only walklight,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
accident_0,55,0.6844,0.9939,200,0.8680,400,0.2071,0.0000,0.6143,0.1600,2.4322,19.0223,0.0000,0.7012,0.0000,0.0338,12.6849,17.4175,12.6215,10.3825,23.7226,3.0438,0.0000,1.0673,0.3360,4.3977,9.1511,0.0000,7.4612,0.0000,0.1087,15.6834,12.3629,5.3563,10.7817,30.2500,0.6803,0.6844,0.6824,0.6843,0.6644,0.6532,0.6844,0.6751,0.6844,0.6842,0.6003,0.6278,0.6564,0.6257,0.6387,0.1472,0.0188,0.0447,0.0438,0.0058,0.2602,0.0138,0.0787,0.0164,0.0267,0.2028,0.2608,0.1635,0.0633,0.2533,5.3073,0.2980,1.0000,0.0993,0.8975,0.0000,5.0000,0.1408,0.7450,0.0000,10.0000,0.1620,0.5900,0.0000,11.4875,0.1712,0.5500,0.0000,22.4760,0.3141,0.3325,0.0727,36.7359,0.4955,0.1975,0.2000,36.7359,0.4955,0.1975,0.1818,11.4875,0.1712,0.5500,0.0000,13.3587,0.1882,0.5025,0.0364
accident_1,55,0.7099,0.9234,160,0.8596,400,0.0000,17.0301,0.0000,0.0018,2.8148,8.6054,9.5822,0.0901,4.5576,0.0000,7.7698,2.5862,2.9767,9.9728,34.0125,0.0000,4.8867,0.0000,0.0000,11.0137,7.8243,9.2418,1.4455,6.6306,0.0000,13.9886,5.5022,3.2920,10.2676,25.9069,0.7099,0.6865,0.7099,0.7098,0.6935,0.6993,0.6695,0.7090,0.6914,0.7099,0.6611,0.6909,0.6955,0.6631,0.6684,0.1382,0.2600,0.0216,0.0195,0.0755,0.3928,0.2473,0.1107,0.0121,0.0753,0.1276,0.1106,0.0696,0.0633,0.3137,5.2815,0.2880,1.0000,0.1230,0.8975,0.0000,5.0000,0.1450,0.7675,0.0000,10.0000,0.1618,0.6200,0.0000,14.8089,0.1776,0.4950,0.0000,18.6015,0.2061,0.4050,0.0909,29.8270,0.3896,0.2375,0.2182,29.5760,0.3894,0.2400,0.2000,14.8089,0.1776,0.4950,0.0000,15.0081,0.1781,0.4900,0.0364
accident_2,55,0.4539,0.6981,280,0.8084,400,1.2985,0.3509,0.8054,0.0751,7.1745,3.7581,0.0000,8.7169,3.5015,0.2709,64.6383,0.0361,6.7170,2.4767,0.1802,3.8871,0.8490,0.1249,0.9655,18.8946,2.1891,0.0000,7.8409,0.9572,0.0000,58.0323,0.0000,5.1856,1.0737,0.0000,0.4466,0.4536,0.4494,0.4533,0.4342,0.4473,0.4539,0.4295,0.4384,0.4513,0.2263,0.4538,0.4278,0.4375,0.4522,0.0279,0.0447,0.0322,0.0182,0.0768,0.1309,0.0198,0.0710,0.0049,0.0601,0.2796,0.0033,0.0450,0.0129,0.0364,5.5376,0.3822,1.0000,0.1415,0.9400,0.0000,5.0000,0.1552,0.7775,0.0182,10.0000,0.2235,0.6225,0.0364,3.2809,0.1442,0.8450,0.0000,20.1472,0.3692,0.4300,0.0909,34.9762,0.5699,0.2800,0.2727,31.5967,0.5171,0.3075,0.1818,3.2809,0.1442,0.8450,0.0000,9.5791,0.2170,0.6350,0.0364
accident_3,55,0.6244,0.8376,160,0.8403,400,3.0918,0.0000,6.5227,0.0000,0.6404,49.5122,1.1498,0.7185,0.0000,0.6569,30.1394,0.4370,4.6637,2.3424,0.1250,7.3153,0.0000,10.7852,0.0000,0.5634,37.8644,0.0000,2.1821,0.0000,0.1520,38.6603,1.2341,0.5455,0.0000,0.6975,0.6010,0.6244,0.5927,0.6244,0.6238,0.4988,0.6244,0.6207,0.6244,0.6242,0.4728,0.6228,0.6028,0.6090,0.6230,0.0570,0.0829,0.1119,0.0950,0.0621,0.3783,0.0854,0.0718,0.0020,0.0627,0.2385,0.0689,0.0696,0.0216,0.1500,5.3668,0.3152,1.0000,0.1090,0.9275,0.0000,5.0000,0.1284,0.7675,0.0000,10.0000,0.1762,0.6000,0.0000,11.1783,0.1932,0.5675,0.0000,20.0771,0.2936,0.3950,0.0909,29.5644,0.3927,0.2725,0.2727,24.6506,0.3439,0.3275,0.1455,11.1783,0.1932,0.5675,0.0000,12.6266,0.2053,0.5350,0.0364
accident_4,55,0.4690,0.6387,260,0.7973,400,0.3580,18.2510,0.3836,0.8150,0.5245,25.6045,0.5765,2.3818,0.2542,1.2910,22.1092,5.6537,0.0000,6.2748,15.5221,3.0280,7.1240,5.5283,1.1811,1.8344,15.5673,3.8196,1.9349,0.0000,2.8270,35.7331,6.0560,0.0000,7.8653,7.5009,0.4670,0.4534,0.4652,0.4639,0.4663,0.4360,0.4653,0.4573,0.4690,0.4628,0.3907,0.4565,0.4690,0.4421,0.4637,0.1169,0.1723,0.0322,0.0101,0.0406,0.2816,0.0596,0.1021,0.0000,0.0052,0.1615,0.0881,0.0093,0.0380,0.1509,5.5223,0.3730,1.0000,0.1485,0.9275,0.0000,5.0000,0.1736,0.7925,0.0000,10.0000,0.2244,0.6475,0.0000,10.9737,0.2386,0.6250,0.0000,15.7918,0.2944,0.5275,0.0727,32.8536,0.4336,0.2950,0.2909,15.1006,0.2882,0.5400,0.0364,9.7349,0.2207,0.6550,0.0000,10.9737,0.2386,0.6250,0.0000
accident_5,55,0.4092,0.6162,240,0.8124,400,1.1728,0.0000,0.4795,0.4799,4.1383,23.9047,4.1900,0.2462,5.8163,0.2181,31.9231,0.9286,1.4970,6.3375,18.6679,5.3574,0.0000,5.3359,1.5184,1.8550,7.4989,0.0000,2.1487,0.0000,0.0000,33.5697,1.7548,1.3322,0.8237,38.8053,0.4005,0.4092,0.4043,0.4049,0.4026,0.3877,0.4092,0.4073,0.3906,0.4076,0.3011,0.4062,0.4062,0.3894,0.3872,0.0821,0.0562,0.0216,0.0031,0.0657,0.1827,0.1148,0.0186,0.0049,0.0490,0.1829,0.0496,0.0246,0.0216,0.1470,5.5819,0.4026,1.0000,0.0751,0.8925,0.0000,5.0000,0.2887,0.7500,0.0182,10.0000,0.3332,0.6625,0.0545,4.5258,0.2752,0.7575,0.0000,22.5298,0.3777,0.4725,0.0727,41.3110,0.5027,0.2550,0.2545,34.9425,0.4589,0.3200,0.1455,3.5090,0.2324,0.7825,0.0000,10.1018,0.3332,0.6625,0.0545
accident_6,55,0.4487,0.6351,180,0.8210,400,1.6148,4.2486,0.3456,2.9681,3.7419,21.2181,7.1832,0.0000,0.3010,0.0000,19.3836,29.6655,8.0025,0.7960,0.5311,2.8557,0.8254,3.1281,2.9135,4.5477,26.1390,13.8247,0.0000,0.4127,0.0000,13.0571,23.7124,7.7831,0.4292,0.3714,0.4396,0.4478,0.4456,0.4300,0.4359,0.4029,0.4244,0.4487,0.4485,0.4487,0.3901,0.3764,0.4331,0.4450,0.4480,0.0520,0.0844,0.0063,0.0000,0.0097,0.1798,0.0872,0.0224,0.0000,0.0184,0.1442,0.1897,0.0696,0.0071,0.0929,5.5423,0.3822,1.0000,0.1747,0.9550,0.0000,5.0000,0.2233,0.8350,0.0364,10.0000,0.2589,0.7250,0.0364,1.9409,0.1764,0.9250,0.0000,31.2083,0.3719,0.3400,0.0909,39.2473,0.4670,0.2425,0.2182,30.8450,0.3680,0.3425,0.0727,1.9409,0.1764,0.9250,0.0000,14.1726,0.2667,0.6375,0.0364
accident_7,55,0.4936,0.6810,240,0.8155,400,14.0501,0.6881,21.8502,0.9583,0.0000,4.4620,1.1484,1.1466,0.0912,9.6252,21.7234,7.8421,4.5156,8.3750,3.5239,5.0984,0.9876,27.1698,2.4488,0.0000,5.2188,0.9635,6.4392,0.0000,19.6307,11.1521,7.4589,6.5998,3.0189,3.8137,0.4907,0.4924,0.4140,0.4887,0.4936,0.4870,0.4921,0.4870,0.4932,0.4343,0.3973,0.4758,0.4825,0.4521,0.4932,0.1294,0.0559,0.1327,0.0348,0.0475,0.1431,0.0596,0.0518,0.0002,0.0034,0.1347,0.1268,0.0450,0.0380,0.1263,5.4982,0.3629,1.0000,0.1584,0.9275,0.0182,5.0000,0.2097,0.8075,0.0182,10.0000,0.2303,0.6875,0.0182,0.9536,0.1571,0.9300,0.0000,24.0620,0.3143,0.4125,0.0909,33.6063,0.3996,0.2800,0.2909,26.1345,0.3304,0.3800,0.1091,0.9536,0.1571,0.9300,0.0000,13.4779,0.2474,0.6100,0.0364
accident_8,55,0.5443,0.7850,180,0.8460,400,8.9862,0.0363,2.9047,0.4349,1.1596,25.1514,0.0000,1.2023,5.0476,1.2395,20.2711,2.6536,8.7252,2.6344,19.5532,3.2782,0.1519,16.2126,2.0456,0.0536,21.7418,0.0000,6.5833,5.2791,0.0000,13.0326,0.9558,3.3497,0.6699,26.6458,0.5364,0.5440,0.5211,0.5395,0.5409,0.4948,0.5443,0.5345,0.5257,0.5376,0.4466,0.5420,0.5187,0.5285,0.5247,0.1929,0.0671,0.0750,0.0189,0.0132,0.2667,0.0402,0.0720,0.0011,0.0052,0.1906,0.0857,0.0979,0.0216,0.1978,5.4466,0.3422,1.0000,0.1511,0.9400,0.0000,5.0000,0.1708,0.8125,0.0000,10.0000,0.1931,0.6650,0.0000,14.1270,0.2222,0.5625,0.0000,26.1218,0.3296,0.3450,0.0909,33.6454,0.4345,0.2525,0.2545,26.1218,0.3296,0.3450,0.0909,12.3610,0.2054,0.6050,0.0000,13.4852,0.2149,0.5775,0.0000
accident_9,55,0.5268,0.7231,180,0.8112,400,0.0997,0.0000,0.0823,0.4700,2.8996,0.0020,15.4009,0.0205,0.2231,0.0004,15.9579,12.8514,42.2164,1.5016,8.2743,3.0453,0.0000,0.5864,0.0000,5.1646,0.2675,10.5556,0.0000,0.0000,0.0103,20.9259,20.2984,28.0041,0.0000,11.1420,0.5261,0.5268,0.5264,0.5242,0.5080,0.5268,0.4867,0.5267,0.5253,0.5268,0.4733,0.4875,0.4078,0.5203,0.5158,0.0777,0.0405,0.0063,0.0000,0.0227,0.0608,0.1210,0.0205,0.0002,0.0184,0.1647,0.1718,0.2394,0.0066,0.1377,5.4643,0.3561,1.0000,0.1541,0.9500,0.0000,5.0000,0.2182,0.8325,0.0364,10.0000,0.2479,0.7250,0.0545,3.2098,0.1850,0.8800,0.0000,22.0642,0.2842,0.4925,0.0909,36.8201,0.4003,0.2725,0.2727,35.5481,0.3834,0.2900,0.2000,3.2098,0.1850,0.8800,0.0000,16.7731,0.2645,0.5900,0.0727
