Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.95423E-5,0.002954226,0.006267596,1,0,0
7.65487E-5,0.010609095,0.016159455,0.9975,0,0
9.68557E-5,0.028430393,0.02040228,0.9925,0,0
1.91136E-4,0.065001093,0.03986208,0.9875,0,0
2.27926E-4,0.110497405,0.04735056,0.9825,0,0
3.51421E-4,0.21336454,0.072062573,0.975,0,0
3.82488E-4,0.326461471,0.078177657,0.9675,0,0
4.56859E-4,0.415334852,0.092653522,0.9625,0,0
4.92126E-4,0.51205621,0.099438256,0.9575,0,0
4.97511E-4,0.611222588,0.100469808,0.9525,0.018181818,0
5.20143E-4,0.713097452,0.104792001,0.9475,0.018181818,0
5.54552E-4,0.768552632,0.111323725,0.945,0.018181818,0
5.87904E-4,0.827342995,0.117609296,0.9425,0.018181818,0
6.12223E-4,0.947411177,0.122164575,0.9375,0.018181818,0
6.13715E-4,1.008782667,0.12244322,0.935,0.018181818,0
6.75436E-4,1.138462857,0.13389525,0.93,0.018181818,0
6.8085E-4,1.206547867,0.134892617,0.9275,0.036363636,0
7.00048E-4,1.346011583,0.138419973,0.9225,0.036363636,0
7.22381E-4,1.41824972,0.1425055,0.92,0.036363636,0
7.45881E-4,1.566253901,0.146783385,0.915,0.036363636,0
7.75262E-4,1.797443784,0.152101865,0.9075,0.036363636,0
7.84112E-4,2.032671037,0.153697393,0.9,0.036363636,0
7.84287E-4,2.267931721,0.153728882,0.8925,0.036363636,0
7.85226E-4,2.503345427,0.153897959,0.885,0.036363636,0
7.87248E-4,2.817823665,0.154262124,0.875,0.036363636,0
7.91948E-4,3.054872877,0.155107535,0.8675,0.036363636,0
8.02922E-4,3.29440337,0.157078526,0.86,0.036363636,0
8.06438E-4,3.53597099,0.157709116,0.8525,0.036363636,0
8.26396E-4,3.782658782,0.161279261,0.845,0.072727273,0
8.33964E-4,4.032276538,0.162629018,0.8375,0.072727273,0
8.36968E-4,4.283089765,0.163164254,0.83,0.072727273,0
8.49794E-4,4.535670679,0.165445372,0.8225,0.072727273,0
8.70596E-4,4.794762064,0.169131981,0.815,0.072727273,0
8.77288E-4,5.057798652,0.170314352,0.8075,0.072727273,0
8.77355E-4,5.320993694,0.170326152,0.8,0.072727273,0
8.78077E-4,5.584344075,0.170453642,0.7925,0.072727273,0
8.78278E-4,5.759982943,0.170489147,0.7875,0.072727273,0
8.79456E-4,6.023728721,0.17069715,0.78,0.072727273,0
8.79835E-4,6.28763278,0.170763966,0.7725,0.072727273,0
8.80872E-4,6.55178803,0.17094706,0.765,0.072727273,0
8.82745E-4,6.816554061,0.171277425,0.7575,0.072727273,0
8.83266E-4,7.081462353,0.171369396,0.75,0.072727273,0
8.86418E-4,7.258664156,0.17192506,0.745,0.072727273,0
8.87206E-4,7.524730371,0.172063917,0.7375,0.072727273,0
8.87566E-4,7.790951051,0.172127211,0.73,0.072727273,0
8.9123E-4,8.058180764,0.172772544,0.7225,0.109090909,0
8.9253E-4,8.325883118,0.173001461,0.715,0.109090909,0
8.95129E-4,8.504879247,0.173458763,0.71,0.109090909,0
8.97984E-4,8.774173674,0.173960775,0.7025,0.109090909,0
9.00998E-4,9.044290654,0.174490577,0.695,0.109090909,0
9.02849E-4,9.314938463,0.174815661,0.6875,0.109090909,0
9.07698E-4,9.586922886,0.175666794,0.68,0.109090909,0
9.13342E-4,9.769415888,0.176656382,0.675,0.109090909,0
9.17195E-4,10.044327038,0.177331211,0.6675,0.109090909,0
9.19941E-4,10.320096657,0.177811846,0.66,0.109090909,0
9.2151E-4,10.504253291,0.178086463,0.655,0.109090909,0
9.25553E-4,10.781819037,0.178793223,0.6475,0.109090909,0
9.30126E-4,11.059986173,0.179592216,0.64,0.109090909,0
9.39909E-4,11.34102108,0.181298519,0.6325,0.109090909,0
9.48409E-4,11.530556799,0.182778166,0.6275,0.109090909,0
9.5432E-4,11.816257495,0.183805547,0.62,0.109090909,0
9.55494E-4,12.007341844,0.184009558,0.615,0.109090909,0
9.60542E-4,12.295296991,0.184885761,0.6075,0.109090909,0
9.64031E-4,12.584233397,0.18549083,0.6,0.109090909,0
9.69369E-4,12.778026771,0.186415504,0.595,0.109090909,0
9.82358E-4,13.071746661,0.188661443,0.5875,0.109090909,0
9.89512E-4,13.269443601,0.189895935,0.5825,0.109090909,0
9.94822E-4,13.567445516,0.19081089,0.575,0.109090909,0
9.96499E-4,13.766629332,0.191099655,0.57,0.109090909,0
1.00358E-3,14.067175838,0.192317578,0.5625,0.109090909,0
1.01397E-3,14.269342139,0.194101077,0.5575,0.109090909,0
1.01806E-3,14.574596992,0.194802197,0.55,0.109090909,0
1.01972E-3,14.778385398,0.195086491,0.545,0.109090909,0
1.02767E-3,15.085982873,0.196448398,0.5375,0.109090909,0
1.02889E-3,15.291670308,0.196657112,0.5325,0.109090909,0
1.0451E-3,15.604362663,0.199423977,0.525,0.109090909,0
1.04858E-3,15.81402306,0.200015207,0.52,0.109090909,0
1.05974E-3,16.02547399,0.201914588,0.515,0.109090909,0
1.07631E-3,16.345448692,0.204722869,0.5075,0.109090909,0
1.09316E-3,16.563940343,0.207570451,0.5025,0.109090909,0
1.09374E-3,16.7826325,0.207668725,0.4975,0.109090909,0
1.09716E-3,17.001745207,0.208245218,0.4925,0.109090909,0
1.11563E-3,17.334563441,0.211350381,0.485,0.109090909,0
1.13314E-3,17.560759216,0.214284131,0.48,0.109090909,0
1.14197E-3,17.789056333,0.215758666,0.475,0.109090909,0
1.14706E-3,18.018068132,0.21660915,0.47,0.109090909,0
1.15374E-3,18.363803598,0.217721272,0.4625,0.109090909,0
